Document,Path,Term,Definition
5.18 נגיש,,סובסידיה,"זכאות לקבלת תגמול כספי, המהווה השלמת תשלום למקבלי גמול ביצוע עבודה."
5.18 נגיש,,העסקה כחוק,המפעל יפעל לקדם העסקה ישירה בתנאי שכר בהתאם לחוק. אוכלוסיית יעד
5.18 נגיש,,אנשים בגילאי 18,"67 המוכרים על ידי ביטוח לאומי עם נכות מעל 40%, ושיכולת עבודתם אינה תואמת בשלב זה את דרישות העסקה בשוק הפתוח, לרבות תעסוקה נתמכת ועל כן מתאימים למפעל מקדם תעסוקה. אוכלוסיית ותיקים ממשיכים בגיל 67 ומעלה המסוגלים להמשיך לעבוד במפעל מקדם תעסוקה בהתאם להחלטת ההנהלה ובכפוף לתכנית מותאמת. מטרות פיתוח מסוגלות תעסוקתית מותאמת לדרישות שוק העבודה."
11.7 נגיש,,עובד סוציאלי משפחה,עובד סוציאלי מנהל ההתערבות במחלקה לשירותים חברתיים.
11.7 נגיש,,עובד סוציאלי התמכרויות,כהגדרתו בתקנון העובדים הסוציאליים 2.4 כוח אדם במחלקות.
11.7 נגיש,,יחידה להתמכרויות – יחידה לטיפול בהתמכרויות,"מסגרת אמבולטורית אשר קיבלה רישיון להפעלה בהתאם ובכפוף לתקנות הפיקוח על מוסדות לטיפול במשתמשים בסמים תשנ""ד – 1994 ומצריכה קבלת רישיון להפעלה. כהגדרתה בתקנון העובדים הסוציאליים 11.1."
11.7 נגיש,,התמכרות – התמכרות,"תהליך התדרדרות אותו עובר אדם ובו נוצרת תלות בחומר, משנה מצב רוח או התנהגות, עד לפגיעה בחלק ניכר מהתפקודים המרכזיים בחייו. האדם המכור מתקשה להפסיק את התהליך שהינו פיזי רגשי וחברתי וניזקק לסיוע כדי לעזור לו להיגמל מהחומר או מההתנהגות כהגדרתו בתקנון העובדים הסוציאליים 11.1."
11.7 נגיש,,תהליך ההתערבות, ניתן להבחין בין שני מקרים מבדילים בהתייחסות של חלוקת האחריות בין עובד סוציאלי התמכרויות לבין עובד סוציאלי משפחה. מקרה אחד שבו הלקוח הינו אדם בודד (ללא משפחה) שבעייתו המרכזית היא ההתמכרות. מקרה שני שבו הלקוח הינו חלק מבית אב שבעייתו המרכזית היא התמכרות ויתכן וישנם בעיות נוספות בבית האב.
ועדות ערר - עקרונות ונהלי עבודה - 1.8 (נגיש),,"""המשרד"""," משרד העבודה, הרווחה והשירותים החברתיים."
ועדות ערר - עקרונות ונהלי עבודה - 1.8 (נגיש),,"""ועדה"""," ועדת ערר אזורית, הפועלת על פי חוק שירותי הסעד תשי""ח 1958, חוק בתי דין מנהליים תשנ""ב – 1992, תקנות שירותי הסעד – סדרי הנוהל בועדות ערר תשכ""ו – 1965."
ועדות ערר - עקרונות ונהלי עבודה - 1.8 (נגיש),,"""ערר""",
ועדות ערר - עקרונות ונהלי עבודה - 1.8 (נגיש),,השגה בכתב המוגשת לוועדה על," החלטת המחלקה לשירותים חברתיים של רשות מקומית לבקשת הלקוח. אי מתן תשובה בכתב לבקשתו של הלקוח ""ליתן טיפול סוציאלי או להגיש סעד"" על ידי המחלקה לשירותים חברתיים תוך זמן סביר - ""זמן סביר"" (סעיף 2(ב) לחוק שירותי הסעד) – נקבע כי ""זמן סביר"" הוא 30 ימים."
ועדות ערר - עקרונות ונהלי עבודה - 1.8 (נגיש),,"""מרכז""", מרכז ועדות ערר מטעם המשרד במחוז.
ועדות ערר - עקרונות ונהלי עבודה - 1.8 (נגיש),,"""מנהל מחלקה""",
ועדות ערר - עקרונות ונהלי עבודה - 1.8 (נגיש),,כאמור,"בתקנות שירותי הסעד (סדרי הנוהל בוועדות ערר), תשכ""ו – 1965 המפנות להגדרה שבתקנות שירותי הסעד (תפקיד מנהל ועדת הסעד), תשכ""ד – 1963."
ועדות ערר - עקרונות ונהלי עבודה - 1.8 (נגיש),,"""הצדדים""",
ועדות ערר - עקרונות ונהלי עבודה - 1.8 (נגיש),,"""העורר""",מי שהגיש ערר בכתב לוועדת הערר או בא כוחו. מנהל המחלקה לשירותים חברתיים ברשות המקומית.
ועדות ערר - עקרונות ונהלי עבודה - 1.8 (נגיש),,"""דו""ח תגובה לערר"""," מסמך הכולל את תמצית הנתונים הנוגעים בערר חתום על ידי מנהל המחלקה לשירותים חברתיים, כולל העתק התשובה לעורר בעניין."
ועדות ערר - עקרונות ונהלי עבודה - 1.8 (נגיש),,"""טיפול סוציאלי""", כל עזרה שאינה חומרית ואשר היא בתחום אחריותה של המחלקה לשירותים חברתיים.
ועדות ערר - עקרונות ונהלי עבודה - 1.8 (נגיש),,"""סעד"""," עזרה חומרית ישירה או עקיפה, אותה המחלקה לשירותים חברתיים נותנת, שבגינה פורסמו כללי זכאות מוחלטים – לפי הוראות המנהל הכללי של משרד העבודה, הרווחה והשירותים החברתיים (תקנון עובדים סוציאליים). הליך מינוי חברי הוועדה המנהל הכללי של המשרד יקבל מאת מנהל המחלקה לוועדות ערר וסיוע לבודדים, הצעות למועמדים ויעבירם לשר הרווחה."
14.4 נגיש,,חניך/חוסה," אדם עם מוגבלות שכלית התפתחותית בכל גיל, אשר לשם הטיפול בו וקידומו האישי, שוהה באחת המסגרות המפורטות בהוראה זו."
14.4 נגיש,,מסגרת יומית,
14.4 נגיש,,פעוטון ומסגרות יום טיפוליים,מסגרת יומית מיוחדת עבור אנשים עם מוגבלות שכלית התפתחותית בכל הגילים בעלי מוגבלות שכלית התפתחותית עמוקה ו/או סיעודיים.
14.4 נגיש,,מעונות יום לבעלי מוגבלות שכלית התפתחותית בינונית,"מסגרות למוגבלים שכלית התפתחותית בגיל חינוך חובה בבתי ספר של משרד החינוך והתרבות, או מסגרות יום שבהשתתפותו."
14.4 נגיש,,"מע""ש",מרכז עבודה ושיקום לאנשים עם מוגבלות שכלית התפתחותית בעלי מוגבלות שכלית התפתחותית בינונית ונמוכה.
14.4 נגיש,,מסגרות דיור,
14.4 נגיש,,מעון פנימייתי (ממשלתי ציבורי או פרטי),"מקום המשמש כולו או בחלקו כמקום מגורים, או שהייה לאדם עם מוגבלות שכלית התפתחותית מחוץ למגורי משפחתו, כמפורט בחוק הפיקוח על המעונות תשכ""ה – 1965."
14.4 נגיש,,מעון משפחתי – כמו מעון פנימיתי – ל,6 עד 12 חוסים.
14.4 נגיש,,משפחת אומנה – כמו מעון פנימיתי – ל,1 עד 5 חוסים.
14.4 נגיש,,הוסטל או דיור קהילתי,כמו מעון פנימיתי לאוכלוסיה עד ל- 20 חוסים (דיירים).
14.4 נגיש,,דירה,כמו מעון פנימייתי – עד 6 חוסים.
14.4 נגיש,,המחלקה," המחלקה לשירותים חברתיים ברשות המקומית. אישור להפעלת המסגרות מסגרת שיקומית וטיפולית עבור אנשים עם מוגבלות שכלית התפחותית כמפורט בסעיף 2 דלעיל תיפתח ותופעל אך ורק על פי חוק פיקוח על המעונות תשכ""ה – 1965 והתקנות הנלוות אליו."
5.7 נגיש,,קלינאי/ת תקשורת, אדם שקיבל הכרה מטעם משרד הבריאות כקלינאי/ת תקשורת.
5.7 נגיש,,לקות שמיעה," פגיעה ביכולת השמיעה של לפחות dB 50 (על פי חישוב ממוצע סיפי השמיעה בתדרים 500 עד 4,000 הרץ (Hz) באוזן הטובה), שנקבעת על ידי בדיקה אודיולוגית ממכון שמיעה המוכר על ידי קופות החולים, והחתומה על ידי קלינאי/ת תקשורת."
5.7 נגיש,,אודיוגרמה, תוצאה של בדיקת שמיעה הנעשית במכון אודיולוגי על ידי קלינאי/ת תקשורת והחתומה על ידו/ה.
5.7 נגיש,,נותן שירות," ארגון המספק שירותי תמיכה לאנשים עם לקות שמיעה, שנבחר במכרז שמפרסם משרד העבודה הרווחה והשירותים החברתיים לעניין זה, מעת לעת."
